Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.91     0.00    50254     0.00     0.00  pcg_detail::no_stream<unsigned __int128>::increment()
  0.00      0.91     0.00    50254     0.00     0.00  unsigned long pcg_extras::rotr<unsigned long>(unsigned long, unsigned char)
  0.00      0.91     0.00    40804     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::base() const
  0.00      0.91     0.00    40464     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::base() const
  0.00      0.91     0.00    40204     0.00     0.00  ants::Vector2i::Vector2i()
  0.00      0.91     0.00    40002     0.00     0.00  ants::Vector2i&& std::forward<ants::Vector2i>(std::remove_reference<ants::Vector2i>::type&)
  0.00      0.91     0.00    40000     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.91     0.00    40000     0.00     0.00  std::log(long double)
  0.00      0.91     0.00    40000     0.00     0.00  std::remove_reference<std::pair<double, ants::Vector2i>&>::type&& std::move<std::pair<double, ants::Vector2i>&>(std::pair<double, ants::Vector2i>&)
  0.00      0.91     0.00    40000     0.00     0.00  ants::Vector2i& std::forward<ants::Vector2i&>(std::remove_reference<ants::Vector2i&>::type&)
  0.00      0.91     0.00    40000     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.91     0.00    30254     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      0.91     0.00    30254     0.00     0.00  int std::uniform_int_distribution<int>::operator()<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00      0.91     0.00    26196     0.00     0.00  file_write
  0.00      0.91     0.00    26196     0.00     0.00  twrite
  0.00      0.91     0.00    20402     0.00     0.00  bool __gnu_cxx::operator!=<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > >(__gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > > const&, __gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > > const&)
  0.00      0.91     0.00    20200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::operator++()
  0.00      0.91     0.00    20200     0.00     0.00  bool __gnu_cxx::operator!=<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > >(__gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > > const&, __gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > > const&)
  0.00      0.91     0.00    20200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant const*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::operator*() const
  0.00      0.91     0.00    20200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::operator*() const
  0.00      0.91     0.00    20100     0.00     0.00  unsigned char* std::vector<unsigned char, std::allocator<unsigned char> >::_M_data_ptr<unsigned char>(unsigned char*) const
  0.00      0.91     0.00    20100     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::data()
  0.00      0.91     0.00    20070     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.91     0.00    20000     0.00     0.00  distanceLookup(double)
  0.00      0.91     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Ant*, std::vector<ants::Ant, std::allocator<ants::Ant> > >::operator++()
  0.00      0.91     0.00    20000     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.91     0.00    20000     0.00     0.00  double&& std::__pair_get<0ul>::__move_get<double, ants::Vector2i>(std::pair<double, ants::Vector2i>&&)
  0.00      0.91     0.00    20000     0.00     0.00  ants::Vector2i&& std::__pair_get<1ul>::__move_get<double, ants::Vector2i>(std::pair<double, ants::Vector2i>&&)
  0.00      0.91     0.00    20000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00      0.91     0.00    20000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.91     0.00    20000     0.00     0.00  std::pair<double, ants::Vector2i>::pair<int, ants::Vector2i, true>(std::pair<int, ants::Vector2i>&&)
  0.00      0.91     0.00    20000     0.00     0.00  std::pair<int, ants::Vector2i>::pair<int&, ants::Vector2i&, true>(int&, ants::Vector2i&)
  0.00      0.91     0.00    20000     0.00     0.00  std::__detail::_Adaptor<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >, double>::_Adaptor(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00      0.91     0.00    20000     0.00     0.00  std::__detail::_Adaptor<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >, double>::operator()()
  0.00      0.91     0.00    20000     0.00     0.00  double std::generate_canonical<double, 53ul, pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00      0.91     0.00    20000     0.00     0.00  std::tuple_element<0ul, std::pair<double, ants::Vector2i> >::type&& std::get<0ul, double, ants::Vector2i>(std::pair<double, ants::Vector2i>&&)
  0.00      0.91     0.00    20000     0.00     0.00  std::tuple_element<1ul, std::pair<double, ants::Vector2i> >::type&& std::get<1ul, double, ants::Vector2i>(std::pair<double, ants::Vector2i>&&)
  0.00      0.91     0.00    20000     0.00     0.00  double const& std::clamp<double>(double const&, double const&, double const&)
  0.00      0.91     0.00    20000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.91     0.00    20000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.91     0.00    20000     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<int&>::type>::__type, std::__strip_reference_wrapper<std::decay<ants::Vector2i&>::type>::__type> std::make_pair<int&, ants::Vector2i&>(int&, ants::Vector2i&)
  0.00      0.91     0.00    16384     0.00     0.00  ants::Pheromone::Pheromone()
  0.00      0.91     0.00    15127     0.00     0.00  ants::World::randomMovementVector()
  0.00      0.91     0.00    15127     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      0.91     0.00    15127     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      0.91     0.00     4873     0.00     0.00  ants::Vector2i::norm() const
  0.00      0.91     0.00     4873     0.00     0.00  ants::Vector2i::operator-(ants::Vector2i const&) const
  0.00      0.91     0.00     1335     0.00     0.00  stbi__zeof
  0.00      0.91     0.00      962     0.00     0.00  ants::Ant* std::__addressof<ants::Ant>(ants::Ant&)
  0.00      0.91     0.00      953     0.00     0.00  stbi__zget8
